repeat,fold,n_test,n_positive,average_precision,roc_auc,threshold,validation_recall,precision,recall,f1,alert_rate,arm
1,2,294,47,0.6802384506660668,0.8728572659143768,0.08333333333333333,0.8297872340425532,0.28104575163398693,0.9148936170212766,0.43,0.5204081632653061,holdout
1,3,294,47,0.5317593828783138,0.8052803859074856,0.16393442622950818,0.8085106382978723,0.2975206611570248,0.7659574468085106,0.42857142857142855,0.41156462585034015,holdout
1,4,294,47,0.4922602330676281,0.7708674304418986,0.09090909090909091,0.8723404255319149,0.19457013574660634,0.9148936170212766,0.3208955223880597,0.7517006802721088,holdout
2,0,294,48,0.565614184019207,0.8204183604336044,0.12121212121212122,0.851063829787234,0.26973684210526316,0.8541666666666666,0.41,0.5170068027210885,holdout
2,1,294,48,0.49250339354726513,0.786034891598916,0.14285714285714285,0.8085106382978723,0.3764705882352941,0.6666666666666666,0.48120300751879697,0.2891156462585034,holdout
2,2,294,47,0.5765609391590459,0.7909380652941684,0.08333333333333333,0.9583333333333334,0.21875,0.8936170212765957,0.3514644351464435,0.6530612244897959,holdout
2,3,294,47,0.5480968322022035,0.8182875355327761,0.20588235294117646,0.9375,0.3089430894308943,0.8085106382978723,0.4470588235294118,0.41836734693877553,holdout
2,4,294,47,0.6460386844298862,0.8632957188388319,0.08196721311475409,0.8541666666666666,0.27044025157232704,0.9148936170212766,0.4174757281553398,0.5408163265306123,holdout
3,0,294,48,0.5592771177458769,0.8104674796747968,0.16666666666666666,0.851063829787234,0.3888888888888889,0.7291666666666666,0.5072463768115942,0.30612244897959184,holdout
3,1,294,48,0.6184422227300551,0.8574271680216801,0.0847457627118644,0.8297872340425532,0.3508771929824561,0.8333333333333334,0.49382716049382713,0.3877551020408163,holdout
3,2,294,47,0.5979235830321997,0.8106210698595917,0.16129032258064516,0.8125,0.38202247191011235,0.723404255319149,0.5,0.30272108843537415,holdout
3,3,294,47,0.4997439583702258,0.8046774054612801,0.2,0.8333333333333334,0.34210526315789475,0.8297872340425532,0.484472049689441,0.3877551020408163,holdout
3,4,294,47,0.4514382415172924,0.7702213799638212,0.2,0.8541666666666666,0.34177215189873417,0.574468085106383,0.42857142857142855,0.2687074829931973,holdout
4,0,294,48,0.5368830059705578,0.8463753387533874,0.20754716981132076,0.8297872340425532,0.37383177570093457,0.8333333333333334,0.5161290322580645,0.36394557823129253,holdout
4,1,294,48,0.648905980807052,0.8676321138211383,0.08333333333333333,0.9148936170212766,0.26627218934911245,0.9375,0.4147465437788018,0.5748299319727891,holdout
