recall,precision_mean,precision_sem,n_repeats,model
0.36,0.576687934720281,0.00508579992805639,5,random_forest
0.37,0.5713248198080706,0.005815728781037946,5,random_forest
0.38,0.5616786042450963,0.009362590723471734,5,random_forest
0.39,0.5572483376885297,0.007815460412586408,5,random_forest
0.4,0.5475287304827103,0.004858404627346069,5,random_forest
0.41000000000000003,0.5445508497731848,0.005015035911281704,5,random_forest
0.42,0.5439110794940372,0.006199276953121786,5,random_forest
0.43,0.5369739777608664,0.0074518828794797815,5,random_forest
0.44,0.5319699800443118,0.006609454682080995,5,random_forest
0.45,0.5337364170155843,0.0075710447196168235,5,random_forest
0.46,0.527139242420662,0.006906381487817683,5,random_forest
0.47000000000000003,0.5181920268063699,0.009658233608607627,5,random_forest
0.48,0.517152307280446,0.009396152612461952,5,random_forest
0.49,0.5138836844297094,0.009173814860408688,5,random_forest
0.5,0.5110421867600801,0.006074972865043532,5,random_forest
0.51,0.5038363366572833,0.006795974508611417,5,random_forest
0.52,0.4960857582876207,0.007026896064953443,5,random_forest
0.53,0.4912888558804844,0.009649799794592238,5,random_forest
0.54,0.4853940432287739,0.011588298680176856,5,random_forest
0.55,0.4728102969574822,0.006213968924026926,5,random_forest
0.56,0.46007410233776513,0.0009300580076650994,5,random_forest
0.5700000000000001,0.456721776149037,0.0017801857108072406,5,random_forest
0.58,0.4536780789539617,0.00324725420702567,5,random_forest
0.59,0.4483596050169325,0.0063088361517799904,5,random_forest
0.6,0.44083643247087567,0.0053400849040311366,5,random_forest
0.61,0.43663765493045614,0.004563298774417029,5,random_forest
0.62,0.4299739399281378,0.0070160397678965284,5,random_forest
0.63,0.424528644090773,0.007373339225475171,5,random_forest
0.64,0.42117592395517106,0.009007556934988278,5,random_forest
0.65,0.4062315424440864,0.011535420364378744,5,random_forest
0.66,0.40065586473248394,0.010373665348576437,5,random_forest
0.67,0.39537202943004857,0.0103367324840178,5,random_forest
0.68,0.3932978717603238,0.009958659312416664,5,random_forest
0.6900000000000001,0.3791345894835231,0.005851508617587178,5,random_forest
0.7000000000000001,0.3687518536172937,0.005714559067347684,5,random_forest
0.71,0.3620034253406984,0.00571810824697059,5,random_forest
0.72,0.3588865232718639,0.0054822415716239,5,random_forest
0.73,0.3508437059553213,0.008461839283277565,5,random_forest
0.74,0.3443829312180512,0.008680215940214835,5,random_forest
0.75,0.3419998840727073,0.008067005560984383,5,random_forest
0.76,0.3296415319085083,0.006688077108223147,5,random_forest
0.77,0.3214274901150963,0.005689467283516388,5,random_forest
0.78,0.318216479246514,0.004590811396773758,5,random_forest
0.79,0.30347799529975533,0.006585875093980001,5,random_forest
0.8,0.2955320826271859,0.006181696283131197,5,random_forest
0.81,0.29135048275168324,0.00665008605561449,5,random_forest
0.8200000000000001,0.28496466431499673,0.006464271276751279,5,random_forest
0.8300000000000001,0.2806567764507557,0.005873044156965085,5,random_forest
0.84,0.277235095635332,0.005919354482787641,5,random_forest
0.85,0.2742282452295205,0.005841384578015032,5,random_forest
0.86,0.26669081046125265,0.007287876069583043,5,random_forest
0.87,0.25284283165674515,0.00585739445480158,5,random_forest
0.88,0.24415415741901175,0.004640474700284115,5,random_forest
0.89,0.23759239567990847,0.00599675420650166,5,random_forest
0.9,0.23143387279997482,0.00573091875903204,5,random_forest
0.91,0.22277424539587543,0.006736056030440095,5,random_forest
0.92,0.21402758465771726,0.007060979908191835,5,random_forest
0.93,0.20755288115414444,0.004257791118711163,5,random_forest
0.9400000000000001,0.20260722574232132,0.005197927905749976,5,random_forest
0.9500000000000001,0.19364094875102028,0.003141693496958573,5,random_forest
0.96,0.1866388553190914,0.003650435470006525,5,random_forest
0.97,0.18164626701047143,0.002662601630619803,5,random_forest
0.98,0.1737373336969821,0.001015881035906801,5,random_forest
0.99,0.1659289686796473,0.0006089424861410735,5,random_forest
1.0,0.16122448979591836,0.0,5,random_forest
